,pclass,sex,age,sibsp,parch,family_size,fare,embarked,survived
0,1,0,29.0,0,0,0,211.3375,0,1
1,1,1,0.9167,1,2,3,151.55,0,1
2,1,0,2.0,1,2,3,151.55,0,0
3,1,1,30.0,1,2,3,151.55,0,0
4,1,0,25.0,1,2,3,151.55,0,0
5,1,1,48.0,0,0,0,26.55,0,1
6,1,0,63.0,1,0,1,77.9583,0,1
7,1,1,39.0,0,0,0,0.0,0,0
8,1,0,53.0,2,0,2,51.4792,0,1
9,1,1,47.0,1,0,1,227.525,1,0
10,1,0,18.0,1,0,1,227.525,1,1
11,1,0,24.0,0,0,0,69.3,1,1
12,1,1,80.0,0,0,0,30.0,0,1
13,1,1,24.0,0,1,1,247.5208,1,0
14,1,0,50.0,0,1,1,247.5208,1,1
15,1,0,32.0,0,0,0,76.2917,1,1
16,1,1,36.0,0,0,0,75.2417,1,0
17,1,1,37.0,1,1,2,52.5542,0,1
18,1,0,47.0,1,1,2,52.5542,0,1
19,1,1,26.0,0,0,0,30.0,1,1
20,1,0,29.0,0,0,0,221.7792,0,1
21,1,1,25.0,1,0,1,91.0792,1,1
22,1,0,19.0,1,0,1,91.0792,1,1
23,1,0,35.0,0,0,0,135.6333,0,1
24,1,1,28.0,0,0,0,26.55,0,1
25,1,1,45.0,0,0,0,35.5,0,0
26,1,1,40.0,0,0,0,31.0,1,1
27,1,0,30.0,0,0,0,164.8667,0,1
28,1,0,58.0,0,0,0,26.55,0,1
29,1,1,42.0,0,0,0,26.55,0,0
30,1,0,22.0,0,1,1,55.0,0,1
31,1,1,41.0,0,0,0,30.5,0,0
32,1,1,48.0,0,0,0,50.4958,1,0
33,1,0,44.0,0,0,0,27.7208,1,1
34,1,0,59.0,2,0,2,51.4792,0,1
35,1,0,60.0,0,0,0,76.2917,1,1
36,1,0,41.0,0,0,0,134.5,1,1
37,1,1,45.0,0,0,0,26.55,0,0
38,1,1,42.0,0,0,0,26.2875,0,1
39,1,1,36.0,0,1,1,512.3292,1,1
40,1,0,58.0,0,1,1,512.3292,1,1
41,1,1,33.0,0,0,0,5.0,0,0
42,1,1,11.0,1,2,3,120.0,0,1
43,1,0,14.0,1,2,3,120.0,0,1
44,1,1,36.0,1,2,3,120.0,0,1
45,1,0,36.0,1,2,3,120.0,0,1
46,1,1,36.0,1,0,1,78.85,0,0
47,1,0,76.0,1,0,1,78.85,0,1
48,1,1,46.0,1,0,1,61.175,0,0
49,1,0,47.0,1,0,1,61.175,0,1
50,1,1,27.0,1,0,1,53.1,0,1
51,1,0,33.0,1,0,1,53.1,0,1
52,1,0,36.0,0,0,0,262.375,1,1
53,1,0,30.0,0,0,0,86.5,0,1
54,1,1,45.0,0,0,0,29.7,1,1
55,1,1,27.0,1,0,1,136.7792,1,0
56,1,0,26.0,1,0,1,136.7792,1,1
57,1,1,47.0,0,0,0,25.5875,0,0
58,1,0,39.0,1,1,2,83.1583,1,1
59,1,1,37.0,1,1,2,83.1583,1,0
60,1,0,64.0,0,2,2,83.1583,1,1
61,1,0,55.0,2,0,2,25.7,0,1
62,1,1,70.0,1,1,2,71.0,0,0
63,1,0,36.0,0,2,2,71.0,0,1
64,1,0,64.0,1,1,2,26.55,0,1
65,1,1,39.0,1,0,1,71.2833,1,0
66,1,0,38.0,1,0,1,71.2833,1,1
67,1,1,51.0,0,0,0,26.55,0,1
68,1,1,31.0,1,0,1,52.0,0,0
69,1,0,27.0,1,2,3,52.0,0,1
70,1,1,31.0,1,0,1,57.0,0,1
71,1,0,17.0,1,0,1,57.0,0,1
72,1,1,53.0,1,1,2,81.8583,0,1
73,1,1,4.0,0,2,2,81.8583,0,1
74,1,0,54.0,1,1,2,81.8583,0,1
75,1,1,50.0,1,0,1,106.425,1,0
76,1,0,27.0,1,1,2,247.5208,1,1
77,1,0,48.0,1,0,1,106.425,1,1
78,1,0,48.0,1,0,1,39.6,1,1
79,1,1,49.0,1,0,1,56.9292,1,1
80,1,1,39.0,0,0,0,29.7,1,0
81,1,0,23.0,0,1,1,83.1583,1,1
82,1,0,38.0,0,0,0,227.525,1,1
83,1,0,54.0,1,0,1,78.2667,1,1
84,1,0,36.0,0,0,0,31.6792,1,0
85,1,1,36.0,0,0,0,26.3875,0,1
86,1,1,30.0,0,0,0,27.75,1,0
87,1,0,24.0,3,2,5,263.0,0,1
88,1,0,28.0,3,2,5,263.0,0,1
89,1,0,23.0,3,2,5,263.0,0,1
90,1,1,19.0,3,2,5,263.0,0,0
91,1,1,64.0,1,4,5,263.0,0,0
92,1,0,60.0,1,4,5,263.0,0,1
93,1,0,30.0,0,0,0,56.9292,1,1
94,1,1,43.0,1,0,1,27.7208,1,1
95,1,0,22.0,0,2,2,49.5,1,1
96,1,1,60.0,1,1,2,79.2,1,1
97,1,0,48.0,1,1,2,79.2,1,1
98,1,1,37.0,1,0,1,53.1,0,0
99,1,0,35.0,1,0,1,53.1,0,1
100,1,1,47.0,0,0,0,38.5,0,0
101,1,0,35.0,0,0,0,211.5,1,1
102,1,1,24.0,0,0,0,79.2,1,0
103,1,1,49.0,1,0,1,89.1042,1,1
104,1,1,71.0,0,0,0,34.6542,1,0
105,1,1,53.0,0,0,0,28.5,1,1
106,1,0,19.0,0,0,0,30.0,0,1
107,1,1,38.0,0,1,1,153.4625,0,0
108,1,0,58.0,0,1,1,153.4625,0,1
109,1,1,23.0,0,1,1,63.3583,1,1
110,1,0,45.0,0,1,1,63.3583,1,1
111,1,1,46.0,0,0,0,79.2,1,0
112,1,1,25.0,1,0,1,55.4417,1,1
113,1,0,25.0,1,0,1,55.4417,1,1
114,1,1,48.0,1,0,1,76.7292,1,1
115,1,0,49.0,1,0,1,76.7292,1,1
116,1,1,45.0,1,0,1,83.475,0,0
117,1,0,35.0,1,0,1,83.475,0,1
118,1,1,40.0,0,0,0,0.0,0,0
119,1,1,27.0,0,0,0,76.7292,1,1
120,1,0,24.0,0,0,0,83.1583,1,1
121,1,1,55.0,1,1,2,93.5,0,0
122,1,0,52.0,1,1,2,93.5,0,1
123,1,1,42.0,0,0,0,42.5,0,0
124,1,1,55.0,0,0,0,50.0,0,0
125,1,0,16.0,0,1,1,57.9792,1,1
126,1,0,44.0,0,1,1,57.9792,1,1
127,1,0,51.0,1,0,1,77.9583,0,1
128,1,1,38.0,1,0,1,90.0,0,1
129,1,0,35.0,1,0,1,90.0,0,1
130,1,0,50.0,0,0,0,28.7125,1,0
131,1,1,49.0,0,0,0,0.0,0,1
132,1,1,50.0,0,0,0,26.0,0,0
133,1,1,32.5,0,0,0,211.5,1,0
134,1,1,58.0,0,0,0,29.7,1,0
135,1,1,41.0,1,0,1,51.8625,0,0
136,1,1,42.0,1,0,1,52.5542,0,1
137,1,0,45.0,1,0,1,52.5542,0,1
138,1,0,49.0,0,0,0,25.9292,0,1
139,1,1,35.0,0,0,0,512.3292,1,1
140,1,0,16.0,0,1,1,39.4,0,1
141,1,0,51.0,0,1,1,39.4,0,1
142,1,1,29.0,0,0,0,30.0,0,0
143,1,0,21.0,0,0,0,77.9583,0,1
144,1,0,58.0,0,0,0,146.5208,1,1
145,1,0,15.0,0,1,1,211.3375,0,1
146,1,1,30.0,0,0,0,26.0,0,0
147,1,0,16.0,0,0,0,86.5,0,1
148,1,1,19.0,1,0,1,53.1,0,0
149,1,0,18.0,1,0,1,53.1,0,1
150,1,0,24.0,0,0,0,49.5042,1,1
151,1,1,46.0,0,0,0,75.2417,1,0
152,1,1,54.0,0,0,0,51.8625,0,0
153,1,1,36.0,0,0,0,26.2875,0,1
154,1,1,65.0,0,0,0,26.55,0,0
155,1,1,44.0,2,0,2,90.0,2,0
156,1,0,33.0,1,0,1,90.0,2,1
157,1,0,37.0,1,0,1,90.0,2,1
158,1,1,30.0,1,0,1,57.75,1,1
159,1,1,55.0,0,0,0,30.5,0,0
160,1,1,37.0,0,1,1,29.7,1,0
161,1,0,31.0,1,0,1,113.275,1,1
162,1,0,23.0,1,0,1,113.275,1,1
163,1,1,58.0,0,2,2,113.275,1,0
164,1,0,19.0,0,2,2,26.2833,0,1
165,1,0,39.0,0,0,0,108.9,1,1
166,1,0,22.0,0,1,1,61.9792,1,1
167,1,1,65.0,0,1,1,61.9792,1,0
168,1,1,28.5,0,0,0,27.7208,1,0
169,1,1,45.5,0,0,0,28.5,0,0
170,1,1,23.0,0,0,0,93.5,0,0
171,1,1,29.0,1,0,1,66.6,0,0
172,1,0,22.0,1,0,1,66.6,0,1
173,1,1,18.0,1,0,1,108.9,1,0
174,1,0,17.0,1,0,1,108.9,1,1
175,1,0,30.0,0,0,0,93.5,0,1
176,1,1,52.0,0,0,0,30.5,0,1
177,1,1,47.0,0,0,0,52.0,0,0
178,1,0,56.0,0,1,1,83.1583,1,1
179,1,0,43.0,0,1,1,211.3375,0,1
180,1,1,31.0,0,0,0,50.4958,0,0
181,1,0,33.0,0,0,0,27.7208,1,1
182,1,1,36.0,0,0,0,40.125,1,0
183,1,0,33.0,0,0,0,86.5,0,1
184,1,1,13.0,2,2,4,262.375,1,1
185,1,0,18.0,2,2,4,262.375,1,1
186,1,0,21.0,2,2,4,262.375,1,1
187,1,1,61.0,1,3,4,262.375,1,0
188,1,0,48.0,1,3,4,262.375,1,1
189,1,0,24.0,0,0,0,69.3,1,1
190,1,0,35.0,1,0,1,57.75,1,1
191,1,0,40.0,0,0,0,153.4625,0,1
192,1,1,35.0,0,0,0,26.2875,0,1
193,1,1,50.0,1,0,1,55.9,0,0
194,1,0,39.0,1,0,1,55.9,0,1
195,1,1,56.0,0,0,0,35.5,1,1
196,1,1,28.0,0,0,0,35.5,0,1
197,1,1,56.0,0,0,0,30.6958,1,0
198,1,1,24.0,1,0,1,60.0,0,0
199,1,0,18.0,1,0,1,60.0,0,1
200,1,1,24.0,1,0,1,82.2667,0,1
201,1,0,23.0,1,0,1,82.2667,0,1
202,1,1,6.0,0,2,2,134.5,1,1
203,1,1,45.0,1,1,2,134.5,1,1
204,1,0,40.0,1,1,2,134.5,1,1
205,1,1,57.0,1,0,1,146.5208,1,0
206,1,1,32.0,0,0,0,30.5,1,1
207,1,1,62.0,0,0,0,26.55,0,0
208,1,1,54.0,1,0,1,55.4417,1,1
209,1,0,43.0,1,0,1,55.4417,1,1
210,1,0,52.0,1,0,1,78.2667,1,1
211,1,1,67.0,1,0,1,221.7792,0,0
212,1,0,63.0,1,0,1,221.7792,0,0
213,1,1,61.0,0,0,0,32.3208,0,0
214,1,0,48.0,0,0,0,25.9292,0,1
215,1,0,18.0,0,2,2,79.65,0,1
216,1,1,52.0,1,1,2,79.65,0,0
217,1,0,39.0,1,1,2,79.65,0,1
218,1,1,48.0,1,0,1,52.0,0,1
219,1,1,49.0,1,1,2,110.8833,1,0
220,1,1,17.0,0,2,2,110.8833,1,1
221,1,0,39.0,1,1,2,110.8833,1,1
222,1,1,31.0,0,0,0,28.5375,1,1
223,1,1,61.0,0,0,0,33.5,0,0
224,1,1,47.0,0,0,0,34.0208,0,0
225,1,1,64.0,1,0,1,75.25,1,0
226,1,0,60.0,1,0,1,75.25,1,1
227,1,1,54.0,0,1,1,77.2875,0,0
228,1,1,21.0,0,1,1,77.2875,0,0
229,1,0,55.0,0,0,0,135.6333,1,1
230,1,0,31.0,0,2,2,164.8667,0,1
231,1,1,50.0,1,1,2,211.5,1,0
232,1,1,27.0,0,2,2,211.5,1,0
233,1,0,50.0,1,1,2,211.5,1,1
234,1,0,31.0,0,0,0,134.5,1,1
235,1,0,36.0,0,0,0,135.6333,1,1
236,2,0,36.0,0,0,0,13.0,0,1
237,2,1,1.0,2,1,3,39.0,0,1
238,2,0,4.0,2,1,3,39.0,0,1
239,2,0,12.0,2,1,3,39.0,0,1
240,2,0,36.0,0,3,3,39.0,0,1
241,2,1,34.0,0,0,0,13.0,0,1
242,2,0,24.0,0,0,0,13.0,0,1
243,2,0,22.0,0,0,0,10.5,0,1
244,2,0,23.0,0,0,0,13.7917,1,1
245,2,0,34.0,0,0,0,10.5,0,1
246,2,1,36.0,0,0,0,12.875,1,0
247,2,0,57.0,0,0,0,10.5,0,0
248,2,1,2.0,1,1,2,26.0,0,1
249,2,1,3.0,1,1,2,26.0,0,1
250,2,1,36.5,0,2,2,26.0,0,0
251,2,1,26.0,0,0,0,13.0,0,0
252,2,1,20.0,0,0,0,13.8625,1,1
253,2,0,29.0,0,0,0,10.5,0,1
254,2,1,18.5,0,0,0,13.0,0,0
255,2,0,27.0,0,0,0,10.5,0,1
256,2,0,32.5,0,0,0,13.0,0,1
257,3,1,25.0,0,0,0,7.65,0,1
258,3,1,42.0,0,0,0,7.65,0,0
259,3,1,25.0,0,0,0,7.2292,1,1
260,3,1,25.0,0,0,0,7.65,0,0
261,3,1,6.0,0,1,1,12.475,0,1
262,3,0,27.0,0,1,1,12.475,0,1
263,3,1,32.0,0,0,0,8.05,0,1
264,3,0,1.0,1,1,2,16.7,0,1
265,3,0,24.0,0,2,2,16.7,0,1
266,3,0,4.0,1,1,2,16.7,0,1
267,3,1,19.0,0,0,0,7.65,0,0
268,3,0,2.0,0,1,1,10.4625,0,0
269,3,0,29.0,1,1,2,10.4625,0,0
